name,freq
Aaban,3.47663083078794e-07
Aabha,1.5330025710560996e-07
Aabid,4.38000734587457e-08
Aabidah,1.3687522955858031e-08
Aabir,5.201258723226052e-08
Aabriella,1.3961273414975191e-07
Aada,3.558755968523088e-08
Aadam,9.115890288601449e-07
Aadan,3.7230062439933845e-07
Aadarsh,6.597386064723571e-07
Aadav,6.570011018811855e-08
Aadaya,2.4637541320544456e-08
Aaden,1.3810710662460753e-05
Aadesh,6.022510100577534e-08
Aadhan,4.927508264108891e-08
Aadhav,7.884013222574226e-07
Aadhavan,1.8615031219966923e-07
Aadhi,2.57325431570131e-07
Aadhini,8.48626423263198e-08
Aadhira,6.351010651518127e-07
Aadhirai,1.3687522955858031e-08
Aadhiran,1.697252846526396e-07
Aadhrit,1.3687522955858031e-08
Aadhvi,1.3687522955858031e-08
Aadhvik,3.777756335816817e-07
Aadhvika,8.48626423263198e-08
Aadhya,7.325562285975219e-06
Aadhyan,7.665012855280498e-08
Aadhyareddy,5.4750091823432124e-08
Aadhyasri,5.748759641460373e-08
Aadi,2.8880673436860447e-06
Aadian,1.3687522955858031e-08
Aadil,1.1305893961538734e-06
Aadilynn,1.3687522955858031e-08
Aadin,3.394505693052792e-07
Aadish,1.779377984261544e-07
Aadison,3.011255050288767e-08
Aadit,1.251039598165424e-06
Aadith,3.120755233935631e-07
Aadithya,5.201258723226052e-08
Aaditri,1.9710033056435565e-07
Aaditya,1.7848529934438873e-06
Aadiv,6.296260559694695e-08
Aadiya,1.3687522955858031e-08
Aadon,3.230255417582495e-07
Aadrian,3.285005509405928e-08
Aadrik,5.201258723226052e-08
Aadrika,9.033765150866301e-08
Aadrit,7.391262396163337e-08
Aadriti,1.0950018364686425e-07
Aadvi,3.285005509405928e-08
Aadvik,1.1935520017508203e-06
Aadvika,3.367130647141076e-07
Aadya,4.5935327039859555e-06
Aadyant,1.642502754702964e-08
Aadyn,1.6397652501117921e-06
Aafia,4.38000734587457e-08
Aafiya,2.1352535811138529e-07
Aafiyah,1.4508774333209513e-07
Aafreen,1.3687522955858031e-08
Aagam,1.314002203762371e-07
Aage,1.9162532138201244e-08
Aagna,3.558755968523088e-08
Aagot,1.3687522955858031e-08
Aagya,1.9162532138201244e-08
Aahaan,1.752002938349828e-07
Aahan,1.3359022404917438e-06
Aahana,2.329616407087037e-06
Aaheli,2.7375045911716062e-08
Aahid,1.3687522955858031e-08
Aahil,2.2283287372136876e-06
Aahir,7.391262396163337e-08
Aahlani,1.3687522955858031e-08
Aahliyah,6.570011018811855e-08
Aahna,3.2576304634942117e-07
Aahron,1.3687522955858031e-08
Aaidan,1.0402517446452104e-07
Aaiden,2.5540917835631085e-06
Aaidyn,1.9162532138201244e-07
Aaila,2.4911291779661615e-07
Aailani,1.3687522955858031e-08
Aailiyah,4.1062568867574095e-08
Aailyah,5.940384962842386e-07
Aaima,2.929129912553619e-07
Aaira,9.66339120683577e-07
Aairah,5.091758539579188e-07
Aaisha,6.487885881076707e-07
Aaishah,6.296260559694695e-08
Aaiyana,2.7375045911716062e-08
Aaiza,1.286627157850655e-07
Aaja,1.3687522955858031e-08
Aajah,7.938763314397658e-08
Aajaylah,5.4750091823432124e-08
Aajon,2.190003672937285e-08
Aakanksha,2.7375045911716062e-08
Aakarsh,1.5877526628795317e-07
Aakash,2.767617141674494e-06
Aakeem,4.38000734587457e-08
Aakif,1.3687522955858031e-08
Aakifah,4.6537578049917307e-08
Aakil,7.938763314397658e-08
Aakilah,4.927508264108891e-08
Aakira,1.3687522955858031e-08
Aakiyah,1.3687522955858031e-08
Aakriti,1.8888781679084085e-07
Aala,3.668256152169952e-07
Aalaiya,4.1062568867574095e-08
Aalaiyah,2.628004407524742e-07
Aalam,6.296260559694695e-08
Aalana,1.5056275251443834e-07
Aalanah,5.748759641460373e-08
Aalani,6.351010651518127e-07
Aalap,1.642502754702964e-08
Aalasia,1.3687522955858031e-08
Aalaya,5.557134320078361e-07
Aalayah,3.052317619156341e-06
Aalayiah,5.4750091823432124e-08
Aalayjah,1.642502754702964e-08
Aalayna,1.0950018364686425e-07
Aalaysha,4.6537578049917307e-08
Aalaysia,4.489507529521434e-07
Aalea,1.9162532138201244e-08
Aaleah,9.0337651508663e-07
Aaleahya,5.4750091823432124e-08
Aaleayah,1.3687522955858031e-08
Aaleena,1.3687522955858031e-08
Aaleeya,1.3687522955858031e-08
Aaleeyah,4.0241317490222613e-07
Aaleia,2.7375045911716062e-08
Aaleiah,1.642502754702964e-08
Aaleigha,5.00963340184404e-07
Aaleiya,7.938763314397658e-08
Aaleiyah,1.6425027547029638e-07
Aalena,1.3687522955858031e-08
Aalexis,5.4750091823432124e-08
Aalexus,1.642502754702964e-08
Aaleya,6.022510100577534e-08
Aaleyah,3.76680631745213e-06
Aali,1.642502754702964e-08
Aalia,1.765690461305686e-06
Aaliah,2.7238170682157483e-06
Aaliana,6.296260559694695e-08
Aalias,1.3687522955858031e-08
Aaliayah,3.531380922611372e-07
Aaliayh,1.286627157850655e-07
Aalicia,1.3687522955858031e-08
